Year,Geography,American Indian/Alaska Native,Asian,Black/African American,Hispanic/Latino,Multiracial,Native Hawaiian/Other Pacific Islander,Unknown,White,Female,Male,Non-U.S.–born,U.S.-born,0-4,15-24,25-34,35-44,45-54,5-14,55-64,65+
2003,Florida,0,77,448,251,6,2,0,257,377,664,466,575,21.0,76.0,156.0,215.0,232.0,26.0,133.0,182.0
2003,Georgia,0,49,309,85,7,0,2,80,210,322,156,373,33.0,59.0,94.0,107.0,95.0,10.0,53.0,81.0
2003,Hawaii,0,94,0,3,0,13,1,5,42,74,94,22,2.0,11.0,13.0,19.0,13.0,1.0,13.0,44.0
2003,Idaho,2,0,1,8,0,0,1,1,5,8,7,6,1.0,3.0,2.0,1.0,2.0,1.0,0.0,3.0
2003,Illinois,4,154,236,144,2,1,1,90,254,378,294,338,25.0,71.0,116.0,112.0,112.0,19.0,70.0,107.0
2003,Indiana,0,18,56,19,0,0,0,50,49,94,49,94,4.0,11.0,28.0,29.0,20.0,2.0,12.0,37.0
2003,Iowa,0,11,7,10,0,1,0,11,14,26,30,10,1.0,8.0,11.0,2.0,4.0,2.0,6.0,6.0
2003,Kansas,0,20,16,18,0,1,1,19,26,49,44,31,2.0,10.0,16.0,15.0,11.0,1.0,11.0,9.0
2003,Kentucky,0,6,19,19,0,0,0,94,46,92,29,109,4.0,16.0,16.0,18.0,17.0,1.0,19.0,47.0
2003,Louisiana,3,24,140,8,0,0,1,80,79,177,33,221,5.0,11.0,39.0,56.0,67.0,3.0,31.0,44.0
2003,Maine,1,3,9,0,0,0,0,11,6,18,13,11,0.0,3.0,4.0,8.0,4.0,0.0,1.0,4.0
2003,Maryland,0,64,138,34,1,0,0,32,112,157,175,94,5.0,24.0,62.0,54.0,46.0,3.0,25.0,50.0
2003,Massachusetts,1,89,70,42,0,1,1,57,109,152,208,53,3.0,34.0,54.0,42.0,39.0,3.0,35.0,51.0
2003,Michigan,0,49,96,23,1,0,0,74,118,125,100,143,5.0,38.0,30.0,38.0,34.0,6.0,32.0,60.0
2003,Minnesota,5,64,108,20,1,0,1,15,103,111,173,41,11.0,58.0,68.0,24.0,17.0,9.0,8.0,19.0
2003,Mississippi,0,6,80,7,0,1,0,35,37,92,11,117,5.0,11.0,22.0,14.0,19.0,5.0,14.0,39.0
2003,Missouri,0,16,39,12,0,0,2,61,41,89,42,88,4.0,10.0,12.0,23.0,22.0,4.0,13.0,42.0
2003,Montana,5,0,0,0,0,0,0,2,2,5,0,7,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0
2003,Nebraska,1,5,2,12,1,0,0,7,9,19,20,8,0.0,6.0,3.0,5.0,3.0,1.0,5.0,5.0
2003,Nevada,1,49,13,23,0,0,0,20,45,61,72,34,4.0,9.0,14.0,27.0,22.0,0.0,15.0,15.0
2003,New Hampshire,0,9,3,1,0,0,0,2,5,10,13,2,0.0,1.0,6.0,1.0,2.0,1.0,1.0,3.0
2003,New Jersey,0,139,116,168,0,0,0,72,235,260,347,147,15.0,69.0,125.0,73.0,77.0,12.0,42.0,82.0
2003,New Mexico,11,3,0,26,0,1,0,8,18,31,20,29,3.0,1.0,3.0,8.0,7.0,1.0,8.0,18.0
2003,New York,1,395,459,444,4,0,0,168,564,907,976,483,32.0,164.0,300.0,325.0,237.0,26.0,152.0,235.0
2003,North Carolina,7,29,183,69,1,1,0,84,140,234,111,262,12.0,29.0,58.0,70.0,66.0,5.0,54.0,80.0
